q,s,sigma,z,delta_b,delta_a
-9,90,0.1,-1,1.07396,0.216814
-9,90,0.1,0,1.07396,0.216814
-9,90,0.1,1,1.07396,0.216814
-9,90,0.131034,-1,1.07396,0.216814
-9,90,0.131034,0,1.07396,0.216814
-9,90,0.131034,1,1.07396,0.216814
-9,90,0.162069,-1,1.07396,0.216814
-9,90,0.162069,0,1.07396,0.216814
-9,90,0.162069,1,1.07396,0.216814
-9,90,0.193103,-1,1.07396,0.216814
-9,90,0.193103,0,1.07396,0.216814
-9,90,0.193103,1,1.07396,0.216814
-9,90,0.224138,-1,1.07396,0.216814
-9,90,0.224138,0,1.07396,0.216814
-9,90,0.224138,1,1.07396,0.216814
-9,90,0.255172,-1,1.07396,0.216814
-9,90,0.255172,0,1.07396,0.216814
-9,90,0.255172,1,1.07396,0.216814
-9,90,0.286207,-1,1.07396,0.216814
-9,90,0.286207,0,1.07396,0.216814
-9,90,0.286207,1,1.07396,0.216814
-9,90,0.317241,-1,1.07396,0.216814
-9,90,0.317241,0,1.07396,0.216814
-9,90,0.317241,1,1.07396,0.216814
-9,90,0.348276,-1,1.07396,0.216814
-9,90,0.348276,0,1.07396,0.216814
-9,90,0.348276,1,1.07396,0.216814
-9,90,0.37931,-1,1.07396,0.216814
-9,90,0.37931,0,1.07396,0.216814
-9,90,0.37931,1,1.07396,0.216814
-9,90,0.410345,-1,1.07396,0.216814
-9,90,0.410345,0,1.07396,0.216814
-9,90,0.410345,1,1.07396,0.216814
-9,90,0.441379,-1,1.07396,0.216814
-9,90,0.441379,0,1.07396,0.216814
-9,90,0.441379,1,1.07396,0.216814
-9,90,0.472414,-1,1.07396,0.216814
-9,90,0.472414,0,1.07396,0.216814
-9,90,0.472414,1,1.07396,0.216814
-9,90,0.503448,-1,1.07396,0.216814
-9,90,0.503448,0,1.07396,0.216814
-9,90,0.503448,1,1.07396,0.216814
-9,90,0.534483,-1,1.07396,0.216814
-9,90,0.534483,0,1.07396,0.216814
-9,90,0.534483,1,1.07396,0.216814
-9,90,0.565517,-1,1.07396,0.216814
-9,90,0.565517,0,1.07396,0.216814
-9,90,0.565517,1,1.07396,0.216814
-9,90,0.596552,-1,1.07396,0.216814
-9,90,0.596552,0,1.07396,0.216814
-9,90,0.596552,1,1.07396,0.216814
-9,90,0.627586,-1,1.07396,0.216814
-9,90,0.627586,0,1.07396,0.216814
-9,90,0.627586,1,1.07396,0.216814
-9,90,0.658621,-1,1.07396,0.216814
-9,90,0.658621,0,1.07396,0.216814
-9,90,0.658621,1,1.07396,0.216814
-9,90,0.689655,-1,1.07396,0.216814
-9,90,0.689655,0,1.07396,0.216814
-9,90,0.689655,1,1.07396,0.216814
-9,90,0.72069,-1,1.07396,0.216814
-9,90,0.72069,0,1.07396,0.216814
-9,90,0.72069,1,1.07396,0.216814
-9,90,0.751724,-1,1.07396,0.216814
-9,90,0.751724,0,1.07396,0.216814
-9,90,0.751724,1,1.07396,0.216814
-9,90,0.782759,-1,1.07396,0.216814
-9,90,0.782759,0,1.07396,0.216814
-9,90,0.782759,1,1.07396,0.216814
-9,90,0.813793,-1,1.07396,0.216814
-9,90,0.813793,0,1.07396,0.216814
-9,90,0.813793,1,1.07396,0.216814
-9,90,0.844828,-1,1.07396,0.216814
-9,90,0.844828,0,1.07396,0.216814
-9,90,0.844828,1,1.07396,0.216814
-9,90,0.875862,-1,1.07396,0.216814
-9,90,0.875862,0,1.07396,0.216814
-9,90,0.875862,1,1.07396,0.216814
-9,90,0.906897,-1,1.07396,0.216814
-9,90,0.906897,0,1.07396,0.216814
-9,90,0.906897,1,1.07396,0.216814
-9,90,0.937931,-1,1.07396,0.216814
-9,90,0.937931,0,1.07396,0.216814
-9,90,0.937931,1,1.07396,0.216814
-9,90,0.968966,-1,1.07396,0.216814
-9,90,0.968966,0,1.07396,0.216814
-9,90,0.968966,1,1.07396,0.216814
-9,90,1,-1,1.07396,0.216814
-9,90,1,0,1.07396,0.216814
-9,90,1,1,1.07396,0.216814
-9,90.4082,0.1,-1,1.0759,0.21487
-9,90.4082,0.1,0,1.0759,0.21487
-9,90.4082,0.1,1,1.0759,0.21487
-9,90.4082,0.131034,-1,-nan,-nan
-9,90.4082,0.131034,0,-nan,-nan
-9,90.4082,0.131034,1,-nan,-nan
-9,90.4082,0.162069,-1,nan,nan
-9,90.4082,0.162069,0,nan,nan
-9,90.4082,0.162069,1,nan,nan
-9,90.4082,0.193103,-1,-nan,-nan
-9,90.4082,0.193103,0,-nan,-nan
-9,90.4082,0.193103,1,-nan,-nan
-9,90.4082,0.224138,-1,nan,nan
-9,90.4082,0.224138,0,nan,nan
-9,90.4082,0.224138,1,nan,nan
-9,90.4082,0.255172,-1,-nan,-nan
-9,90.4082,0.255172,0,-nan,-nan
-9,90.4082,0.255172,1,-nan,-nan
-9,90.4082,0.286207,-1,nan,nan
-9,90.4082,0.286207,0,nan,nan
-9,90.4082,0.286207,1,nan,nan
-9,90.4082,0.317241,-1,-nan,-nan
-9,90.4082,0.317241,0,-nan,-nan
-9,90.4082,0.317241,1,-nan,-nan
-9,90.4082,0.348276,-1,nan,nan
-9,90.4082,0.348276,0,nan,nan
-9,90.4082,0.348276,1,nan,nan
-9,90.4082,0.37931,-1,-nan,-nan
-9,90.4082,0.37931,0,-nan,-nan
-9,90.4082,0.37931,1,-nan,-nan
-9,90.4082,0.410345,-1,nan,nan
-9,90.4082,0.410345,0,nan,nan
-9,90.4082,0.410345,1,nan,nan
-9,90.4082,0.441379,-1,-nan,-nan
-9,90.4082,0.441379,0,-nan,-nan
-9,90.4082,0.441379,1,-nan,-nan
-9,90.4082,0.472414,-1,nan,nan
-9,90.4082,0.472414,0,nan,nan
-9,90.4082,0.472414,1,nan,nan
-9,90.4082,0.503448,-1,-nan,-nan
-9,90.4082,0.503448,0,-nan,-nan
-9,90.4082,0.503448,1,-nan,-nan
-9,90.4082,0.534483,-1,nan,nan
-9,90.4082,0.534483,0,nan,nan
-9,90.4082,0.534483,1,nan,nan
-9,90.4082,0.565517,-1,-nan,-nan
-9,90.4082,0.565517,0,-nan,-nan
-9,90.4082,0.565517,1,-nan,-nan
-9,90.4082,0.596552,-1,nan,nan
-9,90.4082,0.596552,0,nan,nan
-9,90.4082,0.596552,1,nan,nan
-9,90.4082,0.627586,-1,-nan,-nan
-9,90.4082,0.627586,0,-nan,-nan
-9,90.4082,0.627586,1,-nan,-nan
-9,90.4082,0.658621,-1,nan,nan
-9,90.4082,0.658621,0,nan,nan
-9,90.4082,0.658621,1,nan,nan
-9,90.4082,0.689655,-1,-nan,-nan
-9,90.4082,0.689655,0,-nan,-nan
-9,90.4082,0.689655,1,-nan,-nan
-9,90.4082,0.72069,-1,nan,nan
-9,90.4082,0.72069,0,nan,nan
-9,90.4082,0.72069,1,nan,nan
-9,90.4082,0.751724,-1,-nan,-nan
-9,90.4082,0.751724,0,-nan,-nan
-9,90.4082,0.751724,1,-nan,-nan
-9,90.4082,0.782759,-1,nan,nan
-9,90.4082,0.782759,0,nan,nan
-9,90.4082,0.782759,1,nan,nan
-9,90.4082,0.813793,-1,-nan,-nan
-9,90.4082,0.813793,0,-nan,-nan
-9,90.4082,0.813793,1,-nan,-nan
-9,90.4082,0.844828,-1,nan,nan
-9,90.4082,0.844828,0,nan,nan
-9,90.4082,0.844828,1,nan,nan
-9,90.4082,0.875862,-1,-nan,-nan
-9,90.4082,0.875862,0,-nan,-nan
-9,90.4082,0.875862,1,-nan,-nan
-9,90.4082,0.906897,-1,nan,nan
-9,90.4082,0.906897,0,nan,nan
-9,90.4082,0.906897,1,nan,nan
-9,90.4082,0.937931,-1,-nan,-nan
-9,90.4082,0.937931,0,-nan,-nan
-9,90.4082,0.937931,1,-nan,-nan
-9,90.4082,0.968966,-1,nan,nan
-9,90.4082,0.968966,0,nan,nan
-9,90.4082,0.968966,1,nan,nan
-9,90.4082,1,-1,1.0759,0.21487
-9,90.4082,1,0,1.0759,0.21487
-9,90.4082,1,1,1.0759,0.21487
-9,90.8163,0.1,-1,1.07784,0.212927
-9,90.8163,0.1,0,1.07784,0.212927
-9,90.8163,0.1,1,1.07784,0.212927
-9,90.8163,0.131034,-1,nan,nan
-9,90.8163,0.131034,0,nan,nan
-9,90.8163,0.131034,1,nan,nan
-9,90.8163,0.162069,-1,-nan,-nan
-9,90.8163,0.162069,0,-nan,-nan
-9,90.8163,0.162069,1,-nan,-nan
-9,90.8163,0.193103,-1,nan,nan
-9,90.8163,0.193103,0,nan,nan
-9,90.8163,0.193103,1,nan,nan
-9,90.8163,0.224138,-1,-nan,-nan
-9,90.8163,0.224138,0,-nan,-nan
-9,90.8163,0.224138,1,-nan,-nan
-9,90.8163,0.255172,-1,nan,nan
-9,90.8163,0.255172,0,nan,nan
-9,90.8163,0.255172,1,nan,nan
-9,90.8163,0.286207,-1,-nan,-nan
-9,90.8163,0.286207,0,-nan,-nan
-9,90.8163,0.286207,1,-nan,-nan
-9,90.8163,0.317241,-1,nan,nan
-9,90.8163,0.317241,0,nan,nan
-9,90.8163,0.317241,1,nan,nan
-9,90.8163,0.348276,-1,-nan,-nan
-9,90.8163,0.348276,0,-nan,-nan
-9,90.8163,0.348276,1,-nan,-nan
-9,90.8163,0.37931,-1,nan,nan
-9,90.8163,0.37931,0,nan,nan
-9,90.8163,0.37931,1,nan,nan
-9,90.8163,0.410345,-1,-nan,-nan
-9,90.8163,0.410345,0,-nan,-nan
-9,90.8163,0.410345,1,-nan,-nan
-9,90.8163,0.441379,-1,nan,nan
-9,90.8163,0.441379,0,nan,nan
-9,90.8163,0.441379,1,nan,nan
-9,90.8163,0.472414,-1,-nan,-nan
-9,90.8163,0.472414,0,-nan,-nan
-9,90.8163,0.472414,1,-nan,-nan
-9,90.8163,0.503448,-1,nan,nan
-9,90.8163,0.503448,0,nan,nan
-9,90.8163,0.503448,1,nan,nan
-9,90.8163,0.534483,-1,-nan,-nan
-9,90.8163,0.534483,0,-nan,-nan
-9,90.8163,0.534483,1,-nan,-nan
-9,90.8163,0.565517,-1,nan,nan
-9,90.8163,0.565517,0,nan,nan
-9,90.8163,0.565517,1,nan,nan
-9,90.8163,0.596552,-1,-nan,-nan
-9,90.8163,0.596552,0,-nan,-nan
-9,90.8163,0.596552,1,-nan,-nan
-9,90.8163,0.627586,-1,nan,nan
-9,90.8163,0.627586,0,nan,nan
-9,90.8163,0.627586,1,nan,nan
-9,90.8163,0.658621,-1,-nan,-nan
-9,90.8163,0.658621,0,-nan,-nan
-9,90.8163,0.658621,1,-nan,-nan
-9,90.8163,0.689655,-1,nan,nan
-9,90.8163,0.689655,0,nan,nan
-9,90.8163,0.689655,1,nan,nan
-9,90.8163,0.72069,-1,-nan,-nan
-9,90.8163,0.72069,0,-nan,-nan
-9,90.8163,0.72069,1,-nan,-nan
-9,90.8163,0.751724,-1,nan,nan
-9,90.8163,0.751724,0,nan,nan
-9,90.8163,0.751724,1,nan,nan
-9,90.8163,0.782759,-1,-nan,-nan
-9,90.8163,0.782759,0,-nan,-nan
-9,90.8163,0.782759,1,-nan,-nan
-9,90.8163,0.813793,-1,nan,nan
-9,90.8163,0.813793,0,nan,nan
-9,90.8163,0.813793,1,nan,nan
-9,90.8163,0.844828,-1,-nan,-nan
-9,90.8163,0.844828,0,-nan,-nan
-9,90.8163,0.844828,1,-nan,-nan
-9,90.8163,0.875862,-1,nan,nan
-9,90.8163,0.875862,0,nan,nan
-9,90.8163,0.875862,1,nan,nan
-9,90.8163,0.906897,-1,-nan,-nan
-9,90.8163,0.906897,0,-nan,-nan
-9,90.8163,0.906897,1,-nan,-nan
-9,90.8163,0.937931,-1,nan,nan
-9,90.8163,0.937931,0,nan,nan
-9,90.8163,0.937931,1,nan,nan
-9,90.8163,0.968966,-1,-nan,-nan
-9,90.8163,0.968966,0,-nan,-nan
-9,90.8163,0.968966,1,-nan,-nan
-9,90.8163,1,-1,1.07784,0.212927
-9,90.8163,1,0,1.07784,0.212927
-9,90.8163,1,1,1.07784,0.212927
-9,91.2245,0.1,-1,1.07979,0.210983
-9,91.2245,0.1,0,1.07979,0.210983
-9,91.2245,0.1,1,1.07979,0.210983
-9,91.2245,0.131034,-1,-nan,-nan
-9,91.2245,0.131034,0,-nan,-nan
-9,91.2245,0.131034,1,-nan,-nan
-9,91.2245,0.162069,-1,nan,nan
-9,91.2245,0.162069,0,nan,nan
-9,91.2245,0.162069,1,nan,nan
-9,91.2245,0.193103,-1,-nan,-nan
-9,91.2245,0.193103,0,-nan,-nan
-9,91.2245,0.193103,1,-nan,-nan
-9,91.2245,0.224138,-1,nan,nan
-9,91.2245,0.224138,0,nan,nan
-9,91.2245,0.224138,1,nan,nan
-9,91.2245,0.255172,-1,-nan,-nan
-9,91.2245,0.255172,0,-nan,-nan
-9,91.2245,0.255172,1,-nan,-nan
-9,91.2245,0.286207,-1,nan,nan
-9,91.2245,0.286207,0,nan,nan
-9,91.2245,0.286207,1,nan,nan
-9,91.2245,0.317241,-1,-nan,-nan
-9,91.2245,0.317241,0,-nan,-nan
-9,91.2245,0.317241,1,-nan,-nan
-9,91.2245,0.348276,-1,nan,nan
-9,91.2245,0.348276,0,nan,nan
-9,91.2245,0.348276,1,nan,nan
-9,91.2245,0.37931,-1,-nan,-nan
-9,91.2245,0.37931,0,-nan,-nan
-9,91.2245,0.37931,1,-nan,-nan
-9,91.2245,0.410345,-1,nan,nan
-9,91.2245,0.410345,0,nan,nan
-9,91.2245,0.410345,1,nan,nan
-9,91.2245,0.441379,-1,-nan,-nan
-9,91.2245,0.441379,0,-nan,-nan
-9,91.2245,0.441379,1,-nan,-nan
-9,91.2245,0.472414,-1,nan,nan
-9,91.2245,0.472414,0,nan,nan
-9,91.2245,0.472414,1,nan,nan
-9,91.2245,0.503448,-1,-nan,-nan
-9,91.2245,0.503448,0,-nan,-nan
-9,91.2245,0.503448,1,-nan,-nan
-9,91.2245,0.534483,-1,nan,nan
-9,91.2245,0.534483,0,nan,nan
-9,91.2245,0.534483,1,nan,nan
-9,91.2245,0.565517,-1,-nan,-nan
-9,91.2245,0.565517,0,-nan,-nan
-9,91.2245,0.565517,1,-nan,-nan
-9,91.2245,0.596552,-1,nan,nan
-9,91.2245,0.596552,0,nan,nan
-9,91.2245,0.596552,1,nan,nan
-9,91.2245,0.627586,-1,-nan,-nan
-9,91.2245,0.627586,0,-nan,-nan
-9,91.2245,0.627586,1,-nan,-nan
-9,91.2245,0.658621,-1,nan,nan
-9,91.2245,0.658621,0,nan,nan
-9,91.2245,0.658621,1,nan,nan
-9,91.2245,0.689655,-1,-nan,-nan
-9,91.2245,0.689655,0,-nan,-nan
-9,91.2245,0.689655,1,-nan,-nan
-9,91.2245,0.72069,-1,nan,nan
-9,91.2245,0.72069,0,nan,nan
-9,91.2245,0.72069,1,nan,nan
-9,91.2245,0.751724,-1,-nan,-nan
-9,91.2245,0.751724,0,-nan,-nan
-9,91.2245,0.751724,1,-nan,-nan
-9,91.2245,0.782759,-1,nan,nan
-9,91.2245,0.782759,0,nan,nan
-9,91.2245,0.782759,1,nan,nan
-9,91.2245,0.813793,-1,-nan,-nan
-9,91.2245,0.813793,0,-nan,-nan
-9,91.2245,0.813793,1,-nan,-nan
-9,91.2245,0.844828,-1,nan,nan
-9,91.2245,0.844828,0,nan,nan
-9,91.2245,0.844828,1,nan,nan
-9,91.2245,0.875862,-1,-nan,-nan
-9,91.2245,0.875862,0,-nan,-nan
-9,91.2245,0.875862,1,-nan,-nan
-9,91.2245,0.906897,-1,nan,nan
-9,91.2245,0.906897,0,nan,nan
-9,91.2245,0.906897,1,nan,nan
-9,91.2245,0.937931,-1,-nan,-nan
-9,91.2245,0.937931,0,-nan,-nan
-9,91.2245,0.937931,1,-nan,-nan
-9,91.2245,0.968966,-1,nan,nan
-9,91.2245,0.968966,0,nan,nan
-9,91.2245,0.968966,1,nan,nan
-9,91.2245,1,-1,1.07979,0.210983
-9,91.2245,1,0,1.07979,0.210983
-9,91.2245,1,1,1.07979,0.210983
-9,91.6327,0.1,-1,1.08173,0.209039
-9,91.6327,0.1,0,1.08173,0.209039
-9,91.6327,0.1,1,1.08173,0.209039
-9,91.6327,0.131034,-1,nan,nan
-9,91.6327,0.131034,0,nan,nan
-9,91.6327,0.131034,1,nan,nan
-9,91.6327,0.162069,-1,-nan,-nan
-9,91.6327,0.162069,0,-nan,-nan
-9,91.6327,0.162069,1,-nan,-nan
-9,91.6327,0.193103,-1,nan,nan
-9,91.6327,0.193103,0,nan,nan
-9,91.6327,0.193103,1,nan,nan
-9,91.6327,0.224138,-1,-nan,-nan
-9,91.6327,0.224138,0,-nan,-nan
-9,91.6327,0.224138,1,-nan,-nan
-9,91.6327,0.255172,-1,nan,nan
-9,91.6327,0.255172,0,nan,nan
-9,91.6327,0.255172,1,nan,nan
-9,91.6327,0.286207,-1,-nan,-nan
-9,91.6327,0.286207,0,-nan,-nan
-9,91.6327,0.286207,1,-nan,-nan
-9,91.6327,0.317241,-1,nan,nan
-9,91.6327,0.317241,0,nan,nan
-9,91.6327,0.317241,1,nan,nan
-9,91.6327,0.348276,-1,-nan,-nan
-9,91.6327,0.348276,0,-nan,-nan
-9,91.6327,0.348276,1,-nan,-nan
-9,91.6327,0.37931,-1,nan,nan
-9,91.6327,0.37931,0,nan,nan
-9,91.6327,0.37931,1,nan,nan
-9,91.6327,0.410345,-1,-nan,-nan
-9,91.6327,0.410345,0,-nan,-nan
-9,91.6327,0.410345,1,-nan,-nan
-9,91.6327,0.441379,-1,nan,nan
-9,91.6327,0.441379,0,nan,nan
-9,91.6327,0.441379,1,nan,nan
-9,91.6327,0.472414,-1,-nan,-nan
-9,91.6327,0.472414,0,-nan,-nan
-9,91.6327,0.472414,1,-nan,-nan
-9,91.6327,0.503448,-1,nan,nan
-9,91.6327,0.503448,0,nan,nan
-9,91.6327,0.503448,1,nan,nan
-9,91.6327,0.534483,-1,-nan,-nan
-9,91.6327,0.534483,0,-nan,-nan
-9,91.6327,0.534483,1,-nan,-nan
-9,91.6327,0.565517,-1,nan,nan
-9,91.6327,0.565517,0,nan,nan
-9,91.6327,0.565517,1,nan,nan
-9,91.6327,0.596552,-1,-nan,-nan
-9,91.6327,0.596552,0,-nan,-nan
-9,91.6327,0.596552,1,-nan,-nan
-9,91.6327,0.627586,-1,nan,nan
-9,91.6327,0.627586,0,nan,nan
-9,91.6327,0.627586,1,nan,nan
-9,91.6327,0.658621,-1,-nan,-nan
-9,91.6327,0.658621,0,-nan,-nan
-9,91.6327,0.658621,1,-nan,-nan
-9,91.6327,0.689655,-1,nan,nan
-9,91.6327,0.689655,0,nan,nan
-9,91.6327,0.689655,1,nan,nan
-9,91.6327,0.72069,-1,-nan,-nan
-9,91.6327,0.72069,0,-nan,-nan
-9,91.6327,0.72069,1,-nan,-nan
-9,91.6327,0.751724,-1,nan,nan
-9,91.6327,0.751724,0,nan,nan
-9,91.6327,0.751724,1,nan,nan
-9,91.6327,0.782759,-1,-nan,-nan
-9,91.6327,0.782759,0,-nan,-nan
-9,91.6327,0.782759,1,-nan,-nan
-9,91.6327,0.813793,-1,nan,nan
-9,91.6327,0.813793,0,nan,nan
-9,91.6327,0.813793,1,nan,nan
-9,91.6327,0.844828,-1,-nan,-nan
-9,91.6327,0.844828,0,-nan,-nan
-9,91.6327,0.844828,1,-nan,-nan
-9,91.6327,0.875862,-1,nan,nan
-9,91.6327,0.875862,0,nan,nan
-9,91.6327,0.875862,1,nan,nan
-9,91.6327,0.906897,-1,-nan,-nan
-9,91.6327,0.906897,0,-nan,-nan
-9,91.6327,0.906897,1,-nan,-nan
-9,91.6327,0.937931,-1,nan,nan
-9,91.6327,0.937931,0,nan,nan
-9,91.6327,0.937931,1,nan,nan
-9,91.6327,0.968966,-1,-nan,-nan
-9,91.6327,0.968966,0,-nan,-nan
-9,91.6327,0.968966,1,-nan,-nan
-9,91.6327,1,-1,1.08173,0.209039
-9,91.6327,1,0,1.08173,0.209039
-9,91.6327,1,1,1.08173,0.209039
-9,92.0408,0.1,-1,1.08367,0.207096
-9,92.0408,0.1,0,1.08367,0.207096
-9,92.0408,0.1,1,1.08367,0.207096
-9,92.0408,0.131034,-1,-nan,-nan
-9,92.0408,0.131034,0,-nan,-nan
-9,92.0408,0.131034,1,-nan,-nan
-9,92.0408,0.162069,-1,nan,nan
-9,92.0408,0.162069,0,nan,nan
-9,92.0408,0.162069,1,nan,nan
-9,92.0408,0.193103,-1,-nan,-nan
-9,92.0408,0.193103,0,-nan,-nan
-9,92.0408,0.193103,1,-nan,-nan
-9,92.0408,0.224138,-1,nan,nan
-9,92.0408,0.224138,0,nan,nan
-9,92.0408,0.224138,1,nan,nan
-9,92.0408,0.255172,-1,-nan,-nan
-9,92.0408,0.255172,0,-nan,-nan
-9,92.0408,0.255172,1,-nan,-nan
-9,92.0408,0.286207,-1,nan,nan
-9,92.0408,0.286207,0,nan,nan
-9,92.0408,0.286207,1,nan,nan
-9,92.0408,0.317241,-1,-nan,-nan
-9,92.0408,0.317241,0,-nan,-nan
-9,92.0408,0.317241,1,-nan,-nan
-9,92.0408,0.348276,-1,nan,nan
-9,92.0408,0.348276,0,nan,nan
-9,92.0408,0.348276,1,nan,nan
-9,92.0408,0.37931,-1,-nan,-nan
-9,92.0408,0.37931,0,-nan,-nan
-9,92.0408,0.37931,1,-nan,-nan
-9,92.0408,0.410345,-1,nan,nan
-9,92.0408,0.410345,0,nan,nan
-9,92.0408,0.410345,1,nan,nan
-9,92.0408,0.441379,-1,-nan,-nan
-9,92.0408,0.441379,0,-nan,-nan
-9,92.0408,0.441379,1,-nan,-nan
-9,92.0408,0.472414,-1,nan,nan
-9,92.0408,0.472414,0,nan,nan
-9,92.0408,0.472414,1,nan,nan
-9,92.0408,0.503448,-1,-nan,-nan
-9,92.0408,0.503448,0,-nan,-nan
-9,92.0408,0.503448,1,-nan,-nan
-9,92.0408,0.534483,-1,nan,nan
-9,92.0408,0.534483,0,nan,nan
-9,92.0408,0.534483,1,nan,nan
-9,92.0408,0.565517,-1,-nan,-nan
-9,92.0408,0.565517,0,-nan,-nan
-9,92.0408,0.565517,1,-nan,-nan
-9,92.0408,0.596552,-1,nan,nan
-9,92.0408,0.596552,0,nan,nan
-9,92.0408,0.596552,1,nan,nan
-9,92.0408,0.627586,-1,-nan,-nan
-9,92.0408,0.627586,0,-nan,-nan
-9,92.0408,0.627586,1,-nan,-nan
-9,92.0408,0.658621,-1,nan,nan
-9,92.0408,0.658621,0,nan,nan
-9,92.0408,0.658621,1,nan,nan
-9,92.0408,0.689655,-1,-nan,-nan
-9,92.0408,0.689655,0,-nan,-nan
-9,92.0408,0.689655,1,-nan,-nan
-9,92.0408,0.72069,-1,nan,nan
-9,92.0408,0.72069,0,nan,nan
-9,92.0408,0.72069,1,nan,nan
-9,92.0408,0.751724,-1,-nan,-nan
-9,92.0408,0.751724,0,-nan,-nan
-9,92.0408,0.751724,1,-nan,-nan
-9,92.0408,0.782759,-1,nan,nan
-9,92.0408,0.782759,0,nan,nan
-9,92.0408,0.782759,1,nan,nan
-9,92.0408,0.813793,-1,-nan,-nan
-9,92.0408,0.813793,0,-nan,-nan
-9,92.0408,0.813793,1,-nan,-nan
-9,92.0408,0.844828,-1,nan,nan
-9,92.0408,0.844828,0,nan,nan
-9,92.0408,0.844828,1,nan,nan
-9,92.0408,0.875862,-1,-nan,-nan
-9,92.0408,0.875862,0,-nan,-nan
-9,92.0408,0.875862,1,-nan,-nan
-9,92.0408,0.906897,-1,nan,nan
-9,92.0408,0.906897,0,nan,nan
-9,92.0408,0.906897,1,nan,nan
-9,92.0408,0.937931,-1,-nan,-nan
-9,92.0408,0.937931,0,-nan,-nan
-9,92.0408,0.937931,1,-nan,-nan
-9,92.0408,0.968966,-1,nan,nan
-9,92.0408,0.968966,0,nan,nan
-9,92.0408,0.968966,1,nan,nan
-9,92.0408,1,-1,1.08367,0.207096
-9,92.0408,1,0,1.08367,0.207096
-9,92.0408,1,1,1.08367,0.207096
-9,92.449,0.1,-1,1.08562,0.205152
-9,92.449,0.1,0,1.08562,0.205152
-9,92.449,0.1,1,1.08562,0.205152
-9,92.449,0.131034,-1,nan,nan
-9,92.449,0.131034,0,nan,nan
-9,92.449,0.131034,1,nan,nan
-9,92.449,0.162069,-1,-nan,-nan
-9,92.449,0.162069,0,-nan,-nan
-9,92.449,0.162069,1,-nan,-nan
-9,92.449,0.193103,-1,nan,nan
-9,92.449,0.193103,0,nan,nan
-9,92.449,0.193103,1,nan,nan
-9,92.449,0.224138,-1,-nan,-nan
-9,92.449,0.224138,0,-nan,-nan
-9,92.449,0.224138,1,-nan,-nan
-9,92.449,0.255172,-1,nan,nan
-9,92.449,0.255172,0,nan,nan
-9,92.449,0.255172,1,nan,nan
-9,92.449,0.286207,-1,-nan,-nan
-9,92.449,0.286207,0,-nan,-nan
-9,92.449,0.286207,1,-nan,-nan
-9,92.449,0.317241,-1,nan,nan
-9,92.449,0.317241,0,nan,nan
-9,92.449,0.317241,1,nan,nan
-9,92.449,0.348276,-1,-nan,-nan
-9,92.449,0.348276,0,-nan,-nan
-9,92.449,0.348276,1,-nan,-nan
-9,92.449,0.37931,-1,nan,nan
-9,92.449,0.37931,0,nan,nan
-9,92.449,0.37931,1,nan,nan
-9,92.449,0.410345,-1,-nan,-nan
-9,92.449,0.410345,0,-nan,-nan
-9,92.449,0.410345,1,-nan,-nan
-9,92.449,0.441379,-1,nan,nan
-9,92.449,0.441379,0,nan,nan
-9,92.449,0.441379,1,nan,nan
-9,92.449,0.472414,-1,-nan,-nan
-9,92.449,0.472414,0,-nan,-nan
-9,92.449,0.472414,1,-nan,-nan
-9,92.449,0.503448,-1,nan,nan
-9,92.449,0.503448,0,nan,nan
-9,92.449,0.503448,1,nan,nan
-9,92.449,0.534483,-1,-nan,-nan
-9,92.449,0.534483,0,-nan,-nan
-9,92.449,0.534483,1,-nan,-nan
-9,92.449,0.565517,-1,nan,nan
-9,92.449,0.565517,0,nan,nan
-9,92.449,0.565517,1,nan,nan
-9,92.449,0.596552,-1,-nan,-nan
-9,92.449,0.596552,0,-nan,-nan
-9,92.449,0.596552,1,-nan,-nan
-9,92.449,0.627586,-1,nan,nan
-9,92.449,0.627586,0,nan,nan
-9,92.449,0.627586,1,nan,nan
-9,92.449,0.658621,-1,-nan,-nan
-9,92.449,0.658621,0,-nan,-nan
-9,92.449,0.658621,1,-nan,-nan
-9,92.449,0.689655,-1,nan,nan
-9,92.449,0.689655,0,nan,nan
-9,92.449,0.689655,1,nan,nan
-9,92.449,0.72069,-1,-nan,-nan
-9,92.449,0.72069,0,-nan,-nan
-9,92.449,0.72069,1,-nan,-nan
-9,92.449,0.751724,-1,nan,nan
-9,92.449,0.751724,0,nan,nan
-9,92.449,0.751724,1,nan,nan
-9,92.449,0.782759,-1,-nan,-nan
-9,92.449,0.782759,0,-nan,-nan
-9,92.449,0.782759,1,-nan,-nan
-9,92.449,0.813793,-1,nan,nan
-9,92.449,0.813793,0,nan,nan
-9,92.449,0.813793,1,nan,nan
-9,92.449,0.844828,-1,-nan,-nan
-9,92.449,0.844828,0,-nan,-nan
-9,92.449,0.844828,1,-nan,-nan
-9,92.449,0.875862,-1,nan,nan
-9,92.449,0.875862,0,nan,nan
-9,92.449,0.875862,1,nan,nan
-9,92.449,0.906897,-1,-nan,-nan
-9,92.449,0.906897,0,-nan,-nan
-9,92.449,0.906897,1,-nan,-nan
-9,92.449,0.937931,-1,nan,nan
-9,92.449,0.937931,0,nan,nan
-9,92.449,0.937931,1,nan,nan
-9,92.449,0.968966,-1,-nan,-nan
-9,92.449,0.968966,0,-nan,-nan
-9,92.449,0.968966,1,-nan,-nan
-9,92.449,1,-1,1.08562,0.205152
